Location Code,Real Property Asset Name,Installation Name,Owned or Leased,GSA Region,Street Address,City,State,Zip Code,Latitude,Longitude,Building Rentable Square Feet,Available Square Feet,Construction Date,Congressional District,Congressional District Representative Name,Building Status,Real Property Asset Type
AK0001,ANCHORAGE HISTORIC FEDERAL BUILDING,ANCHORAGE FEDERAL,OWNED,10,605 W 4TH AVE,ANCHORAGE,AK,99501,61.2188715,-149.89446,91737.92,30148.7858,4610,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0005,KETCHIKAN FEDERAL BUILDING,KETCHIKAN FEDERAL,OWNED,10,648 MISSION ST,KETCHIKAN,AK,99901,55.3415851,-131.64269,33745.89,11503.8882,3881,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0009,POST OFFICE AND CU H,N/A,LEASED,10,2ND ST 112 FEDERAL WAY,WRANGELL,AK,99929,56.473949,-132.38812,97,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0013,HURFF A. SAUNDERS FB & ROBERT BOOCHEVER USCH,N/A,OWNED,10,709 W 9TH ST FB/USPO/USCH,JUNEAU,AK,99801,58.3013556,-134.42035,283671.02,12420.87,4108,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0029,FAIRBANKS FEDERAL BUILDING,N/A,OWNED,10,101 12TH AVE,FAIRBANKS,AK,99701,64.8379103,-147.70677,99583.5,10321.5398,8126,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0031,ANCHORAGE FED. BLDG & JAMES M. FITZGERALD USCH,FED BLDG-USCH,OWNED,10,222 W 7TH AVE,ANCHORAGE,AK,99501,61.2151021,-149.8852,455604.47,5160.5982,7760,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0032,ANCHORAGE FEDERAL BUILDING US COURTHOUSE ANNEX,FED BLDG-USCH,OWNED,10,222 W 8TH AVE,ANCHORAGE,AK,99513,61.2143281,-149.88632,64821.42,8291.2896,9221,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0036,ALCAN RECREATION BUILDING,ALCAN LPOE,OWNED,10,MILEPOST 1221.8 ALASKA HWY,TOK,AK,99780,62.6218602,-141.00959,1449.8,,5934,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0037,ALCAN POLE BUILDING,ALCAN LPOE,OWNED,10,MILEPOST 1221.8 ALASKA HWY,TOK,AK,99780,62.6219095,-141.00976,1026.06,,5934,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0038,POKER CREEK LAND PORT OF ENTRY,N/A,OWNED,10,TAYLOR HIGHWAY,TOK,AK,99780,64.0856385,-141.00153,1457.19,,6770,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0040,ALCAN LAND LEASE,ALCAN LPOE,OWNED,10,MILEPOST 1221.8 ALASKA HWY,TOK,AK,99780,62.6216705,-141.01025,3500,,6299,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0506,ALCAN LAND PORT OF ENTRY STATION BUILDING,ALCAN LPOE,OWNED,10,MILEPOST 1221.8 ALASKA HWY,TOK,AK,99780,62.620591,-141.00787,6297.55,151.524,5934,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0507,ALCAN SERVICE BUILDING,ALCAN LPOE,OWNED,10,MILEPOST 1221.8 ALASKA HWY,TOK,AK,99780,62.620847,-141.00746,6723.8,,5934,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0508,ALCAN TRI-PLEX,ALCAN LPOE,OWNED,10,MILEPOST 1221.8 ALASKA HWY,TOK,AK,99780,62.6212762,-141.00785,10220.82,,5934,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0513,ALCAN FOUR-PLEX,ALCAN LPOE,OWNED,10,MILEPOST 1221.8 ALASKA HWY,TOK,AK,99780,62.621682,-141.00837,8701.06,2546.3382,6299,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0521,DALTON CACHE LAND PORT OF ENTRY,DALTON CACHE LPOE,OWNED,10,MILE 42 HAINES HIGHWAY,HAINES,AK,99827,59.4502251,-136.36156,8645.48,,8856,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0523,DALTON CACHE RESIDENCE #2,DALTON CACHE LPOE,OWNED,10,MILE 42 HAINES HIGHWAY,HAINES,AK,99827,59.4498427,-136.36185,1915.23,1915.23,8856,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0525,DALTON CACHE STORAGE,DALTON CACHE LPOE,OWNED,10,MILE 42 HAINES HIGHWAY,HAINES,AK,99827,59.4499053,-136.36127,299.75,299.75,8856,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK0526,SKAGWAY LAND PORT OF ENTRY,N/A,OWNED,10,KLONDIKE HWY,SKAGWAY,AK,99840,59.5273622,-135.22956,6033,,4335,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3139,TROUTTE CENTER,N/A,LEASED,10,329 HARBOR DR,SITKA,AK,99835,57.0502849,-135.33364,951,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3166,PETERSON TOWER,N/A,LEASED,10,510 L ST,ANCHORAGE,AK,99501,61.2171472,-149.90432,5283,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3177,TUDOR BUSINESS CNTER,N/A,LEASED,10,1011 E TUDOR RD,ANCHORAGE,AK,99503,61.1821109,-149.86311,89049,33409.31,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3180,MICHAEL BUILDING,N/A,LEASED,10,620 E 10TH AVE,ANCHORAGE,AK,99501,61.212371,-149.87231,24703,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3219,RHINE BUILDING,N/A,LEASED,10,2770 SHERWOOD LN,JUNEAU,AK,99801,58.3716941,-134.61722,9433,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3227,ELIZABETH PERATROVICH BUILDING,N/A,LEASED,10,15 12TH ST,PETERSBURG,AK,99833,56.8108518,-132.94276,770,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3228,K & R BLDG,N/A,LEASED,10,204 SIGINAKA WAY,SITKA,AK,99835,57.056912,-135.34822,1782,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3237,VECO ALASKA BUILDING,N/A,LEASED,10,949 E 36TH AVE,ANCHORAGE,AK,99508,61.1885652,-149.86237,23053,3151.9338,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3239,ALASKA PACIFIC UNIV.GRACE HALL,N/A,LEASED,10,4230 UNIVERSITY DR,ANCHORAGE,AK,99508,61.1885694,-149.80227,28436,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3244,"COURTHOUSE SQUARE - FAIRBANKS, AK",N/A,LEASED,10,250 CUSHMAN ST,FAIRBANKS,AK,99701,64.8429976,-147.72161,4108,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3251,5100 CORDOVA BLDG,N/A,LEASED,10,5100 CORDOVA ST,ANCHORAGE,AK,99503,61.1743829,-149.87931,4887,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3256,TRI-M WAREHOUSE,N/A,LEASED,10,606 W 2ND AVENUE,NOME,AK,99762,64.5005403,-165.4151966,3800,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3263,MEPS FACILITY,N/A,LEASED,10,1717 C ST,ANCHORAGE,AK,99501,61.2044527,-149.88642,19665,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3276,INS GARAGE,N/A,LEASED,10,1040 GAMBELL ST,ANCHORAGE,AK,99501,61.2119195,-149.87152,6857,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3279,JUNEAU FLITE CENTER,N/A,LEASED,10,1945 ALEX HOLDEN WAY,JUNEAU,AK,99801,58.360473,-134.58761,4650,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3282,"AIRPORT BUSINESS CENTER - UNALASKA, AK",N/A,LEASED,10,2315 AIRPORT BEACH RD,DUTCH HARBOR,AK,99692,53.888821,-166.5457852,4613,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3283,FEMA DRSF (DISASTER RESPONSE FACILITY),N/A,LEASED,10,350 E INTERNATIONAL AIRPORT RD,ANCHORAGE,AK,99518,61.1735059,-149.87683,7200,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3303,BLOMFIELD ADMIN BUILDING,N/A,LEASED,10,101 E 6TH AVE,ANCHORAGE,AK,99501,61.216855,-149.88216,41141,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3306,NPS HANGAR,N/A,LEASED,10,"LOT 2, BLOCK 4",YAKUTAT,AK,99689,59.8096909,-139.54873,4700,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3308,SEAVIEW PLAZA,N/A,LEASED,10,302 RAILWAY AVE,SEWARD,AK,99664,60.1004965,-149.44163,922,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3317,"ATRIUM BUILDING - PALMER, AK",N/A,LEASED,10,800 E PALMER-WASILLA HWY,PALMER,AK,99645,61.599158,-149.12896,19716,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3331,KODIAK ISLAND,N/A,LEASED,10,301 RESEARCH CT,KODIAK,AK,99615,57.781584,-152.39609,26401,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3332,BALLARD BUILDING,N/A,LEASED,10,43655 KALIFORNSKY BEACH RD,SOLDOTNA,AK,99669,60.489234,-151.15459,5010,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3335,EKLUTNA BUILDING,N/A,LEASED,10,100 E 5TH AVE,ANCHORAGE,AK,99501,61.2172735,-149.88241,23992,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3341,FRONTIER BUILDING,N/A,LEASED,10,3601 C ST,ANCHORAGE,AK,99503,61.1876136,-149.88403,42604,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3344,BLOMFIELD TUDOR BUILDING,N/A,LEASED,10,1630 E TUDOR RD,ANCHORAGE,AK,99507,61.1796273,-149.85078,27763,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3360,PROSPECTUS WAREHOUSE,N/A,LEASED,10,319 E SHIP CREEK AVE,ANCHORAGE,AK,99501,61.22264,-149.87857,10000,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3365,NOAA OBSERVER MAKUSHIN DUPLEX,N/A,LEASED,10,"63 KASHEGA DRIVE MAKUSHIN APARTMENTS, UNIT N-4,",UNALASKA,AK,99685,53.8876667,-166.5417991,1051,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3371,GIBERTONI BUILDING,N/A,LEASED,10,3400 SHELL ST,FAIRBANKS,AK,99701,64.8142938,-147.77243,7200,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3373,U.S. PARK SERVICE BUILDING,N/A,LEASED,10,240 W 5TH AVE FIFTH AVENUE CENTER,ANCHORAGE,AK,99501,61.2172234,-149.88622,75286,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3375,4000 WEST 50TH BLDG 2ND FLOOR,N/A,LEASED,10,4000 W 50TH AVE AKA LOT 33A AND LOT 28A,ANCHORAGE,AK,99502,61.1753387,-149.95968,13038,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3378,WESTFLIGHT BUILDING,N/A,LEASED,10,1621 TONGASS AVE SUITE 200-2004,KETCHIKAN,AK,99901,55.3470283,-131.66402,2875,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3379,TED STEVENS INT'L AIRPORT,N/A,LEASED,10,4600 POSTMARK DR,ANCHORAGE,AK,99502,61.178499,-149.98484,4947,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3380,CORDOVA AIRPORT,N/A,LEASED,10,"POWER CREEK RD CORDOVA AIRPORT, LOT 2, BLOCK 100",CORDOVA,AK,99574,60.572513,-145.6710726,1064,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3381,WINGSPAN,N/A,LEASED,10,1420 AIRPORT WAY LOT 7B BLOCK 1600,KODIAK,AK,99615,57.754944,-152.51547,950,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3383,ASRC PROPERTIES LLC,N/A,LEASED,10,1078 KIOGAK STREET,UTQIAGVIK,AK,99723,71.2924332,-156.788,800,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3385,"BAKER BUILDING - KOTZEBUE, AK",N/A,LEASED,10,241 5TH AVE,KOTZEBUE,AK,99752,66.8933266,-162.596518,842,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3386,SITNASUAK BUILDING,N/A,LEASED,10,214 FRONT ST,NOME,AK,99762,64.4979966,-165.40815,827,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3387,JUNEAU INTERNATIONAL AIRPORT,N/A,LEASED,10,1873 SHELL SIMMONS DR SUITE 200,JUNEAU,AK,99801,58.361652,-134.58517,589,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3389,KETCHIKAN AIRPORT - HANGER #1,N/A,LEASED,10,LOT 4 BLK 400 US SURVEY 3535 & TIDELANDS SURVEY 802,KETCHIKAN,AK,99901,55.3559123,-131.70809,2196,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3395,SADLER BUSINESS PLAZA,N/A,LEASED,10,5904 OLD AIRPORT WAY,FAIRBANKS,AK,99709,64.8267592,-147.85071,8175.7,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3406,PENAIR TERMINAL,N/A,LEASED,10,AIRPORT RD DILLINGHAM AIRPORT,DILLINGHAM,AK,99576,59.0428391,-158.51335,530,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3408,PACIFIC WING INC,N/A,LEASED,10,1500 HAUGEN DR,PETERSBURG,AK,99833,56.8064192,-132.93331,1110,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3414,3000 C STREET,N/A,LEASED,10,3000 C ST,ANCHORAGE,AK,99503,61.1930468,-149.88742,14805,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3416,420 L STREET BUILDING,N/A,LEASED,10,420 L ST,ANCHORAGE,AK,99501,61.2180022,-149.90439,5521,4017.15,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3428,4000 W 50TH AVE BLDG B,N/A,LEASED,10,4000 W 50TH AVE,ANCHORAGE,AK,99502,61.1753637,-149.96147,1317,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3429,CENTERPOINT FINANCIAL CENTER,N/A,LEASED,10,3801 CENTERPOINT DR,ANCHORAGE,AK,99503,61.1866356,-149.88791,33827,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
AK3431,27-12 MIDTOWN BUILDING,N/A,LEASED,10,9001 E FRONTAGE RD,PALMER,AK,99645,61.6000132,-149.22354,6225,,,0200,NICHOLAS J. BEGICH III,ACTIVE,BUILDING
